hospital_pk,state,ccn,hospital_name,address,city,zip,hospital_subtype,fips_code,geocoded_hospital_address,hhs_ids,publication_date,collection_week,is_metro_micro,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hosp_confirmed_suspected_covid_7d_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hosp_confirmed_suspected_covid_7d_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_suspected_covid_7d_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum,total_patients_hospitalized_confirmed_influenza_7_day_sum,icu_patients_confirmed_influenza_7_day_sum,total_patients_hosp_confirmed_influenza_and_covid_7d_sum,total_beds_7_day_coverage,all_adult_hospital_beds_7_day_coverage,all_adult_hospital_inpatient_beds_7_day_coverage,inpatient_beds_used_7_day_coverage,all_adult_hospital_inpatient_bed_occupied_7_day_coverage,total_adult_patients_hosp_confirmed_suspected_covid_7d_cov,total_adult_patients_hospitalized_confirmed_covid_7_day_coverage,total_pediatric_patients_hosp_confirmed_suspected_covid_7d_cov,total_pediatric_patients_hosp_confirmed_covid_7d_cov,inpatient_beds_7_day_coverage,total_icu_beds_7_day_coverage,total_staffed_adult_icu_beds_7_day_coverage,icu_beds_used_7_day_coverage,staffed_adult_icu_bed_occupancy_7_day_coverage,staffed_icu_adult_patients_confirmed_suspected_covid_7d_cov,staffed_icu_adult_patients_confirmed_covid_7_day_coverage,total_patients_hospitalized_confirmed_influenza_7_day_coverage,icu_patients_confirmed_influenza_7_day_coverage,total_patients_hosp_confirmed_influenza_and_covid_7d_cov,previous_day_admission_adult_covid_confirmed_7_day_sum,previous_day_admission_adult_covid_confirmed_18_19_7_day_sum,previous_day_admission_adult_covid_confirmed_20_29_7_day_sum,previous_day_admission_adult_covid_confirmed_30_39_7_day_sum,previous_day_admission_adult_covid_confirmed_40_49_7_day_sum,previous_day_admission_adult_covid_confirmed_50_59_7_day_sum,previous_day_admission_adult_covid_confirmed_60_69_7_day_sum,previous_day_admission_adult_covid_confirmed_70_79_7_day_sum,previous_day_admission_adult_covid_confirmed_80plus_7_day_sum,previous_day_admission_adult_covid_confirmed_unknown_7_day_sum,previous_day_admission_pediatric_covid_confirmed_7_day_sum,previous_day_covid_ed_visits_7_day_sum,previous_day_admission_adult_covid_suspected_7_day_sum,previous_day_admission_adult_covid_suspected_18_19_7_day_sum,previous_day_admission_adult_covid_suspected_20_29_7_day_sum,previous_day_admission_adult_covid_suspected_30_39_7_day_sum,previous_day_admission_adult_covid_suspected_40_49_7_day_sum,previous_day_admission_adult_covid_suspected_50_59_7_day_sum,previous_day_admission_adult_covid_suspected_60_69_7_day_sum,previous_day_admission_adult_covid_suspected_70_79_7_day_sum,previous_day_admission_adult_covid_suspected_80plus_7_day_sum,previous_day_admission_adult_covid_suspected_unknown_7_day_sum,previous_day_admission_pediatric_covid_suspected_7_day_sum,previous_day_total_ed_visits_7_day_sum,previous_day_admission_influenza_confirmed_7_day_sum,is_corrected,previous_day_admission_adult_covid_confirmed_7_day_coverage,previous_day_admission_adult_covid_suspected_7_day_coverage,previous_day_admission_pediatric_covid_confirmed_7_day_coverage,previous_day_admission_pediatric_covid_suspected_7_day_coverage,previous_week_patients_covid_vaccinated_doses_all_7_day,previous_week_patients_covid_vaccinated_doses_all_7_day_sum,previous_week_patients_covid_vaccinated_doses_one_7_day,previous_week_patients_covid_vaccinated_doses_one_7_day_sum,previous_week_personnel_covid_vaccd_doses_administered_7_day,previous_week_personnel_covid_vaccd_doses_administered_7_day_sum,total_personnel_covid_vaccinated_doses_all_7_day,total_personnel_covid_vaccinated_doses_all_7_day_sum,total_personnel_covid_vaccinated_doses_none_7_day,total_personnel_covid_vaccinated_doses_none_7_day_sum,total_personnel_covid_vaccinated_doses_one_7_day,total_personnel_covid_vaccinated_doses_one_7_day_sum,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hosp_confirmed_suspected_covid_7d_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hosp_confirmed_suspected_covid_7d_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_suspected_covid_7d_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hosp_confirmed_influenza_and_covid_7d_avg
330214,NY,330214,NYU LANGONE HOSPITALS,550 FIRST AVENUE,NEW YORK,10016,Short Term,36061,POINT (-73.974303 40.742311),"[C330214-B, C330214-A, C330214-C, C330214-D]",20230623,20201106,1,15350,12816,10622,10530,8927,458,393,14,-999999,13030,2730,1785.0,2205.0,1433.0,66,61.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,58,-999999,9,6,-999999,10,7,9,13,0.0,-999999,2481,44,0,-999999,4,5,9,8,9,8,0.0,5,4280,0.0,0,7,7,7,7,,,,,,,,,,,,,2192.9,1830.9,1517.4,1504.3,1275.3,65.4,56.1,-999999.0,-999999.0,1861.4,390.0,255.0,315.0,204.7,9.4,8.7,0.0,0.0,0.0
330285,NY,330285,STRONG MEMORIAL HOSPITAL,601 ELMWOOD AVE,ROCHESTER,14642,Short Term,36055,POINT (-77.623587 43.122832),[C330285-A],20230623,20201106,1,9156,7938,7133,5901,4827,189,141,10,4,8218,1400,1260.0,904.0,754.0,49,41.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,18,0,-999999,-999999,0,-999999,4,-999999,-999999,0.0,-999999,19,40,-999999,4,6,-999999,7,6,11,-999999,0.0,6,2125,0.0,0,7,7,7,7,,,,,,,,,,,,,1308.0,1134.0,1019.0,843.0,689.6,27.0,20.1,-999999.0,-999999.0,1174.0,200.0,180.0,129.1,107.7,7.0,5.9,0.0,0.0,0.0
050025,CA,050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,92103,Short Term,06073,POINT (-117.165844 32.754258),"[C050025-A, C050025-B]",20240308,20201108,1,6594,5649,4669,4278,3972,235,213,0,0,5614,1274,791.0,860.0,667.0,86,83.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,-999999,0,-999999,0,0,-999999,-999999,-999999,0.0,0,429,17,0,-999999,-999999,-999999,5,4,-999999,-999999,0.0,0,1355,0.0,0,7,7,7,7,,,,,,,,,,,,,942.0,807.0,667.0,611.1,567.4,33.6,30.4,0.0,0.0,802.0,182.0,113.0,122.9,95.3,12.3,11.9,0.0,0.0,0.0
050262,CA,050262,RONALD REAGAN UCLA MEDICAL CENTER,757 WESTWOOD PLAZA,LOS ANGELES,90095,Short Term,06037,POINT (-118.446328 34.066455),[C050262-A],20240308,20201108,1,3199,2723,2492,2767,2383,229,122,4,0,2968,1085,763.0,980.0,706.0,75,67.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0.0,0,129,0,0,0,0,0,0,0,0,0,0.0,0,760,0.0,0,7,7,7,7,,,,,,,,,,,,,457.0,389.0,356.0,395.3,340.4,32.7,17.4,-999999.0,0.0,424.0,155.0,109.0,140.0,100.9,10.7,9.6,0.0,0.0,0.0
050373,CA,050373,LOS ANGELES GENERAL MEDICAL CENTER,"2051 MARENGO ST, ROOM C2K100",LOS ANGELES,90033,Short Term,06037,POINT (-118.206478 34.056278),[C050373-A],20240308,20201108,1,4496,4233,4233,3528,3389,281,230,10,-999999,4496,906,737.0,707.0,604.0,117,101.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,40,0,5,6,7,8,6,7,-999999,0.0,0,132,13,0,0,-999999,0,4,-999999,-999999,-999999,0.0,0,2286,0.0,0,7,7,7,7,,,,,,,,,,,,,642.3,604.7,604.7,504.0,484.1,40.1,32.9,-999999.0,-999999.0,642.3,129.4,105.3,101.0,86.3,16.7,14.4,0.0,0.0,0.0
050441,CA,050441,STANFORD HEALTH CARE,300 PASTEUR DRIVE,STANFORD,94305,Short Term,06085,POINT (-122.175944 37.433018),[C050441-A],20240308,20201108,1,4473,4354,4242,3897,3897,105,88,0,0,4242,693,693.0,528.0,528.0,27,22.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,20,0,-999999,6,-999999,-999999,4,-999999,-999999,0.0,0,139,205,-999999,9,16,19,38,42,41,38,0.0,-999999,1626,0.0,0,7,7,7,7,,,,,,,,,,,,,639.0,622.0,606.0,556.7,556.7,15.0,12.6,0.0,0.0,606.0,99.0,99.0,75.4,75.4,-999999.0,-999999.0,0.0,0.0,0.0
050454,CA,050454,UCSF MEDICAL CENTER,"505 PARNASSUS AVE, BOX 0296",SAN FRANCISCO,94143,Short Term,06075,POINT (-122.457544 37.762452),"[C050454-C, C050454-B, C050454-D, C050454-A]",20240308,20201108,1,4823,3552,3551,4514,3482,96,85,5,-999999,4822,1287,714.0,989.0,508.0,28,28.0,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,-999999,0,-999999,0,0,0,0,0,0,0.0,-999999,190,0,0,0,0,0,0,0,0,0,0.0,0,813,,0,7,7,7,7,,,,,,,,,,,,,689.0,507.4,507.3,644.9,497.4,13.7,12.1,-999999.0,-999999.0,688.9,183.9,102.0,141.3,72.6,4.0,4.0,,,
050625,CA,050625,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD,LOS ANGELES,90048,Short Term,06037,POINT (-118.380016 34.076549),[C050625-A],20240308,20201108,1,6489,6195,6195,5812,5576,263,199,0,0,6489,1155,756.0,866.0,684.0,67,49.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,25,0,-999999,4,-999999,4,7,5,-999999,0.0,0,73,26,0,0,0,-999999,-999999,6,7,9,0.0,0,1501,0.0,0,7,7,7,7,,,,,,,,,,,,,927.0,885.0,885.0,830.3,796.6,37.6,28.4,0.0,0.0,927.0,165.0,108.0,123.7,97.7,9.6,7.0,0.0,0.0,0.0
330005,NY,330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,14210,Short Term,36029,POINT (-78.865984 42.900906),"[C330005-C, C330005-B, C330005-A]",20240308,20201108,1,6853,6853,6328,4662,4662,447,262,0,0,6328,1505,1505.0,636.0,636.0,100,68.0,-999999.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,46,-999999,5,-999999,-999999,7,10,9,11,0.0,0,186,102,0,-999999,-999999,-999999,11,31,20,31,0.0,0,1833,-999999.0,0,7,7,7,7,,,,,,,,,,,,,979.0,979.0,904.0,666.0,666.0,63.9,37.4,0.0,0.0,904.0,215.0,215.0,90.9,90.9,14.3,9.7,-999999.0,0.0,0.0
330024,NY,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,10029,Short Term,36061,POINT (-73.953392 40.790390),"[C330024-B, C330024-A]",20240308,20201108,1,11585,10647,9030,9221,8527,659,420,28,0,9940,1869,1722.0,1787.0,1672.0,119,106.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,43,0,-999999,6,-999999,13,-999999,14,4,0.0,0,809,25,0,-999999,-999999,4,9,-999999,4,4,0.0,-999999,3733,0.0,0,7,7,7,7,,,,,,,,,,,,,1655.0,1521.0,1290.0,1317.3,1218.1,94.1,60.0,4.0,0.0,1420.0,267.0,246.0,255.3,238.9,17.0,15.1,0.0,0.0,0.0
