hospital_pk,state,ccn,hospital_name,address,city,zip,hospital_subtype,fips_code,geocoded_hospital_address,hhs_ids,publication_date,collection_week,is_metro_micro,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hosp_confirmed_suspected_covid_7d_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hosp_confirmed_suspected_covid_7d_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_suspected_covid_7d_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum,total_patients_hospitalized_confirmed_influenza_7_day_sum,icu_patients_confirmed_influenza_7_day_sum,total_patients_hosp_confirmed_influenza_and_covid_7d_sum,total_beds_7_day_coverage,all_adult_hospital_beds_7_day_coverage,all_adult_hospital_inpatient_beds_7_day_coverage,inpatient_beds_used_7_day_coverage,all_adult_hospital_inpatient_bed_occupied_7_day_coverage,total_adult_patients_hosp_confirmed_suspected_covid_7d_cov,total_adult_patients_hospitalized_confirmed_covid_7_day_coverage,total_pediatric_patients_hosp_confirmed_suspected_covid_7d_cov,total_pediatric_patients_hosp_confirmed_covid_7d_cov,inpatient_beds_7_day_coverage,total_icu_beds_7_day_coverage,total_staffed_adult_icu_beds_7_day_coverage,icu_beds_used_7_day_coverage,staffed_adult_icu_bed_occupancy_7_day_coverage,staffed_icu_adult_patients_confirmed_suspected_covid_7d_cov,staffed_icu_adult_patients_confirmed_covid_7_day_coverage,total_patients_hospitalized_confirmed_influenza_7_day_coverage,icu_patients_confirmed_influenza_7_day_coverage,total_patients_hosp_confirmed_influenza_and_covid_7d_cov,previous_day_admission_adult_covid_confirmed_7_day_sum,previous_day_admission_adult_covid_confirmed_18_19_7_day_sum,previous_day_admission_adult_covid_confirmed_20_29_7_day_sum,previous_day_admission_adult_covid_confirmed_30_39_7_day_sum,previous_day_admission_adult_covid_confirmed_40_49_7_day_sum,previous_day_admission_adult_covid_confirmed_50_59_7_day_sum,previous_day_admission_adult_covid_confirmed_60_69_7_day_sum,previous_day_admission_adult_covid_confirmed_70_79_7_day_sum,previous_day_admission_adult_covid_confirmed_80plus_7_day_sum,previous_day_admission_adult_covid_confirmed_unknown_7_day_sum,previous_day_admission_pediatric_covid_confirmed_7_day_sum,previous_day_covid_ed_visits_7_day_sum,previous_day_admission_adult_covid_suspected_7_day_sum,previous_day_admission_adult_covid_suspected_18_19_7_day_sum,previous_day_admission_adult_covid_suspected_20_29_7_day_sum,previous_day_admission_adult_covid_suspected_30_39_7_day_sum,previous_day_admission_adult_covid_suspected_40_49_7_day_sum,previous_day_admission_adult_covid_suspected_50_59_7_day_sum,previous_day_admission_adult_covid_suspected_60_69_7_day_sum,previous_day_admission_adult_covid_suspected_70_79_7_day_sum,previous_day_admission_adult_covid_suspected_80plus_7_day_sum,previous_day_admission_adult_covid_suspected_unknown_7_day_sum,previous_day_admission_pediatric_covid_suspected_7_day_sum,previous_day_total_ed_visits_7_day_sum,previous_day_admission_influenza_confirmed_7_day_sum,is_corrected,previous_day_admission_adult_covid_confirmed_7_day_coverage,previous_day_admission_adult_covid_suspected_7_day_coverage,previous_day_admission_pediatric_covid_confirmed_7_day_coverage,previous_day_admission_pediatric_covid_suspected_7_day_coverage,previous_week_patients_covid_vaccinated_doses_all_7_day,previous_week_patients_covid_vaccinated_doses_all_7_day_sum,previous_week_patients_covid_vaccinated_doses_one_7_day,previous_week_patients_covid_vaccinated_doses_one_7_day_sum,previous_week_personnel_covid_vaccd_doses_administered_7_day,previous_week_personnel_covid_vaccd_doses_administered_7_day_sum,total_personnel_covid_vaccinated_doses_all_7_day,total_personnel_covid_vaccinated_doses_all_7_day_sum,total_personnel_covid_vaccinated_doses_none_7_day,total_personnel_covid_vaccinated_doses_none_7_day_sum,total_personnel_covid_vaccinated_doses_one_7_day,total_personnel_covid_vaccinated_doses_one_7_day_sum,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hosp_confirmed_suspected_covid_7d_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hosp_confirmed_suspected_covid_7d_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_suspected_covid_7d_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hosp_confirmed_influenza_and_covid_7d_avg
330059,NY,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,10467,Short Term,36005,POINT (-73.879897 40.879872),"[C330059-C, C330059-B, C330059-A, C330059-D]",20230623,20210108,1,10955,9604,9604,9321,8434,1996,1906,33,33,10955,1460,879.0,1252.0,787.0,370,370.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,241,-999999,11,12,20,44,53,43,51,4.0,4,1971,0,0,0,0,0,0,0,0,0,0.0,0,4386,0.0,0,7,7,7,7,,,,,,,,,,,,,1565.0,1372.0,1372.0,1331.6,1204.9,285.1,272.3,4.7,4.7,1565.0,208.6,125.6,178.9,112.4,52.9,52.9,0.0,0.0,0.0
330101,NY,330101,NEW YORK-PRESBYTERIAN HOSPITAL,525 EAST 68TH STREET,NEW YORK,10065,Short Term,36061,POINT (-73.954509 40.764355),"[C330101-A, C330101-H, C330101-D, C330101-F, C330101-G, C330101-C, C330101-E]",20230623,20210108,1,24642,20225,18433,16753,14203,3407,2815,211,17,22514,3521,2008.0,3093.0,1887.0,744,665.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,268,-999999,9,18,19,38,43,58,81,0.0,4,717,133,-999999,7,17,7,24,30,26,20,0.0,17,5535,0.0,0,7,7,7,7,,,,,,,,,,,,,3520.3,2889.3,2633.3,2393.3,2029.0,486.7,402.1,30.1,-999999.0,3216.3,503.0,286.9,441.9,269.6,106.3,95.0,0.0,0.0,0.0
330214,NY,330214,NYU LANGONE HOSPITALS,550 FIRST AVENUE,NEW YORK,10016,Short Term,36061,POINT (-73.974303 40.742311),"[C330214-B, C330214-A, C330214-C, C330214-D]",20230623,20210108,1,17465,14931,12971,11102,9186,2434,2326,43,28,15687,2730,1785.0,2123.0,1422.0,451,434.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,277,0,8,15,27,31,68,64,64,,7,2496,70,0,5,6,9,9,10,11,17,-999999.0,13,4184,0.0,0,7,7,7,7,,,,,,,,,,,,,2495.0,2133.0,1853.0,1586.0,1312.3,347.7,332.3,6.1,4.0,2241.0,390.0,255.0,303.3,203.1,64.4,62.0,0.0,0.0,0.0
330285,NY,330285,STRONG MEMORIAL HOSPITAL,601 ELMWOOD AVE,ROCHESTER,14642,Short Term,36055,POINT (-77.623587 43.122832),[C330285-A],20230623,20210108,1,9352,8316,7378,6275,5219,1143,1115,32,19,8414,1127,931.0,965.0,789.0,322,317.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,83,-999999,5,4,4,21,18,16,14,0.0,6,100,19,-999999,-999999,-999999,-999999,4,4,4,0,0.0,13,1855,0.0,0,7,7,7,7,,,,,,,,,,,,,1336.0,1188.0,1054.0,896.4,745.6,163.3,159.3,4.6,-999999.0,1202.0,161.0,133.0,137.9,112.7,46.0,45.3,0.0,0.0,0.0
050025,CA,050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,92103,Short Term,06073,POINT (-117.165844 32.754258),"[C050025-A, C050025-B]",20240308,20210110,1,5852,5292,4508,4028,3861,1085,1055,-999999,0,5068,1183,707.0,841.0,674.0,303,294.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,42,0,-999999,7,6,9,7,5,5,0.0,0,502,14,0,-999999,0,-999999,-999999,-999999,-999999,-999999,0.0,0,1366,0.0,0,7,7,7,7,,,,,,,,,,,,,836.0,756.0,644.0,575.4,551.6,155.0,150.7,-999999.0,0.0,724.0,169.0,101.0,120.1,96.3,43.3,42.0,0.0,0.0,0.0
050262,CA,050262,RONALD REAGAN UCLA MEDICAL CENTER,757 WESTWOOD PLAZA,LOS ANGELES,90095,Short Term,06037,POINT (-118.446328 34.066455),[C050262-A],20240308,20210110,1,3199,2723,2492,2678,2385,839,722,21,18,2968,1085,763.0,931.0,705.0,270,265.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,80,0,5,5,11,16,17,7,19,0.0,-999999,218,0,0,0,0,0,0,0,0,0,0.0,0,789,0.0,0,7,7,7,7,,,,,,,,,,,,,457.0,389.0,356.0,382.6,340.7,119.9,103.1,-999999.0,-999999.0,424.0,155.0,109.0,133.0,100.7,38.6,37.9,0.0,0.0,0.0
050373,CA,050373,LOS ANGELES GENERAL MEDICAL CENTER,"2051 MARENGO ST, ROOM C2K100",LOS ANGELES,90033,Short Term,06037,POINT (-118.206478 34.056278),[C050373-A],20240308,20210110,1,4511,4144,4105,3945,3727,1717,1649,36,30,4472,1021,831.0,836.0,686.0,454,453.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,159,0,7,11,24,35,32,31,19,0.0,5,267,9,0,-999999,-999999,-999999,4,0,-999999,0,0.0,0,1916,0.0,0,7,7,7,7,,,,,,,,,,,,,644.4,592.0,586.4,563.6,532.4,245.3,235.6,5.1,4.3,638.9,145.9,118.7,119.4,98.0,64.9,64.7,0.0,0.0,0.0
050441,CA,050441,STANFORD HEALTH CARE,300 PASTEUR DRIVE,STANFORD,94305,Short Term,06085,POINT (-122.175944 37.433018),[C050441-A],20240308,20210110,1,4437,4318,4318,3960,3960,777,732,0,0,4318,693,693.0,657.0,657.0,244,225.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,101,-999999,8,15,9,10,24,17,17,0.0,0,271,317,-999999,18,37,27,48,63,61,61,0.0,0,1664,0.0,0,7,7,7,7,,,,,,,,,,,,,633.9,616.9,616.9,565.7,565.7,111.0,104.6,0.0,0.0,616.9,99.0,99.0,93.9,93.9,34.9,32.1,0.0,0.0,0.0
050454,CA,050454,UCSF MEDICAL CENTER,"505 PARNASSUS AVE, BOX 0296",SAN FRANCISCO,94143,Short Term,06075,POINT (-122.457544 37.762452),"[C050454-C, C050454-B, C050454-D, C050454-A]",20240308,20210110,1,5838,4235,4235,4695,3397,521,505,62,48,5838,1342,714.0,1153.0,601.0,173,163.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0.0,-999999,249,0,0,0,0,0,0,0,0,0,0.0,0,828,-999999.0,0,7,7,7,7,,,,,,,,,,,,,834.0,605.0,605.0,670.7,485.3,74.4,72.1,8.9,6.9,834.0,191.7,102.0,164.7,85.9,24.7,23.3,0.0,0.0,0.0
050625,CA,050625,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD,LOS ANGELES,90048,Short Term,06037,POINT (-118.380016 34.076549),[C050625-A],20240308,20210110,1,5334,5980,5518,4628,4610,2050,1867,0,0,4938,1085,,,,497,,0.0,0.0,0.0,6,7,7,6,7,7,7,7,7,6,7,0,0,0,7,0,7,7,7,148,-999999,-999999,11,17,23,29,25,39,-999999.0,0,307,77,-999999,-999999,6,5,5,16,19,22,0.0,0,1361,0.0,1,7,7,7,7,,,,,,,,,,,,,889.0,854.3,788.3,771.3,658.6,292.9,266.7,0.0,0.0,823.0,155.0,,,,71.0,,0.0,0.0,0.0
330005,NY,330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,14210,Short Term,36029,POINT (-78.865984 42.900906),"[C330005-C, C330005-B, C330005-A]",20240308,20210110,1,6853,6853,6328,4915,4915,1147,1122,0,0,6328,1505,1505.0,1004.0,1004.0,215,206.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,110,0,-999999,7,4,14,24,33,27,0.0,0,282,147,0,5,-999999,6,17,28,39,49,0.0,0,1808,0.0,0,7,7,7,7,0.0,,0.0,,6112.0,,4803.0,,1261.0,,2392.0,,979.0,979.0,904.0,702.1,702.1,163.9,160.3,0.0,0.0,904.0,215.0,215.0,143.4,143.4,30.7,29.4,0.0,0.0,0.0
330024,NY,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,10029,Short Term,36061,POINT (-73.953392 40.790390),"[C330024-B, C330024-A]",20240308,20210110,1,11991,11081,9345,7063,6530,1626,1226,79,11,10255,1806,1659.0,920.0,833.0,225,206.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,109,0,-999999,8,11,12,28,22,27,0.0,-999999,1123,24,0,-999999,6,-999999,4,4,4,0,-999999.0,-999999,3987,0.0,0,7,7,7,7,,,,,,,,,,,,,1713.0,1583.0,1335.0,1009.0,932.9,232.3,175.1,11.3,-999999.0,1465.0,258.0,237.0,131.4,119.0,32.1,29.4,0.0,0.0,0.0
330059,NY,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,10467,Short Term,36005,POINT (-73.879896 40.879872),"[C330059-C, C330059-B, C330059-A, C330059-D]",20240308,20210110,1,10955,9604,9604,9423,8540,2128,2128,32,32,10955,1442,861.0,1247.0,792.0,398,397.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,252,-999999,10,13,25,42,43,47,64,5.0,5,2098,0,0,0,0,0,0,0,0,0,0.0,0,4451,0.0,0,7,7,7,7,,,,,,,,,,,,,1565.0,1372.0,1372.0,1346.1,1220.0,304.0,304.0,4.6,4.6,1565.0,206.0,123.0,178.1,113.1,56.9,56.7,0.0,0.0,0.0
330101,NY,330101,NEW YORK-PRESBYTERIAN HOSPITAL,525 EAST 68TH STREET,NEW YORK,10065,Short Term,36061,POINT (-73.954509 40.764355),"[C330101-A, C330101-H, C330101-D, C330101-F, C330101-G, C330101-C, C330101-E]",20240308,20210110,1,24640,20223,18431,16737,14170,3544,2834,210,15,22512,3520,2003.0,3111.0,1884.0,758,674.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,288,-999999,8,15,23,38,47,60,95,0.0,-999999,824,159,-999999,8,20,9,32,28,38,22,0.0,20,5550,0.0,0,7,7,7,7,,,,,,,,,,,,,3520.0,2889.0,2633.0,2391.0,2024.3,506.3,404.9,30.0,-999999.0,3216.0,502.9,286.1,444.4,269.1,108.3,96.3,0.0,0.0,0.0
330214,NY,330214,NYU LANGONE HOSPITALS,550 FIRST AVENUE,NEW YORK,10016,Short Term,36061,POINT (-73.974303 40.742311),"[C330214-B, C330214-A, C330214-C, C330214-D]",20240308,20210110,1,17465,14931,12971,11125,9240,2530,2419,35,25,15687,2730,1785.0,2120.0,1430.0,469,453.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,306,-999999,8,18,30,35,73,65,76,,7,2582,60,0,4,9,6,11,7,8,14,-999999.0,5,4274,0.0,0,7,7,7,7,,,,,,,,,,,,,2495.0,2133.0,1853.0,1589.3,1320.0,361.4,345.6,5.0,-999999.0,2241.0,390.0,255.0,302.9,204.3,67.0,64.7,0.0,0.0,0.0
330285,NY,330285,STRONG MEMORIAL HOSPITAL,601 ELMWOOD AVE,ROCHESTER,14642,Short Term,36055,POINT (-77.623587 43.122832),[C330285-A],20240308,20210110,1,9352,8316,7378,6261,5179,1084,1058,25,15,8414,1127,931.0,968.0,793.0,306,298.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,71,-999999,-999999,-999999,6,18,12,16,13,0.0,4,101,16,-999999,-999999,-999999,-999999,-999999,5,4,-999999,0.0,10,1869,0.0,0,7,7,7,7,,,,,,,,,,,,,1336.0,1188.0,1054.0,894.4,739.9,154.9,151.1,-999999.0,-999999.0,1202.0,161.0,133.0,138.3,113.3,43.7,42.6,0.0,0.0,0.0
050025,CA,050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,92103,Short Term,06073,POINT (-117.165844 32.754258),"[C050025-A, C050025-B]",20230623,20210115,1,5853,5293,4509,3989,3807,963,939,-999999,0,5069,1183,707.0,841.0,659.0,282,273.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,34,0,-999999,4,-999999,6,8,4,6,0.0,0,509,10,0,0,-999999,-999999,-999999,-999999,-999999,-999999,0.0,-999999,1399,0.0,0,7,7,7,7,,,,,,,,,,,,,836.1,756.1,644.1,569.9,543.9,137.6,134.1,-999999.0,0.0,724.1,169.0,101.0,120.1,94.1,40.3,39.0,0.0,0.0,0.0
050262,CA,050262,RONALD REAGAN UCLA MEDICAL CENTER,757 WESTWOOD PLAZA,LOS ANGELES,90095,Short Term,06037,POINT (-118.44562 34.06617),[C050262-A],20230623,20210115,1,3211,2735,2504,2739,2427,820,708,23,17,2980,1097,775.0,975.0,732.0,299,281.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,45,0,-999999,-999999,-999999,7,9,9,13,0.0,-999999,206,0,0,0,0,0,0,0,0,0,0.0,0,808,0.0,0,7,7,7,7,,,,,,,,,,,,,458.7,390.7,357.7,391.3,346.7,117.1,101.1,-999999.0,-999999.0,425.7,156.7,110.7,139.3,104.6,42.7,40.1,0.0,0.0,0.0
050373,CA,050373,LAC+USC MEDICAL CENTER,"1200 N STATE ST, ROOM C2K100",LOS ANGELES,90033,Short Term,06037,POINT (-118.208376 34.057996),[C050373-A],20230623,20210115,1,4693,4261,4154,3884,3669,1609,1558,39,35,4586,1042,811.0,909.0,754.0,500,500.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,127,-999999,7,11,18,28,24,21,17,0.0,5,222,5,0,-999999,-999999,0,-999999,0,-999999,0,0.0,0,1996,0.0,0,7,7,7,7,,,,,,,,,,,,,670.4,608.7,593.4,554.9,524.1,229.9,222.6,5.6,5.0,655.1,148.9,115.9,129.9,107.7,71.4,71.4,0.0,0.0,0.0
050441,CA,050441,STANFORD HEALTH CARE,300 PASTEUR DRIVE,STANFORD,94305,Short Term,06085,POINT (-122.175944 37.433018),[C050441-A],20230623,20210115,1,4423,4304,4304,3714,3714,669,623,-999999,-999999,4304,698,698.0,670.0,670.0,243,222.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,89,-999999,10,18,7,17,14,11,11,0.0,-999999,240,268,0,25,38,28,35,50,55,37,0.0,-999999,1551,0.0,0,7,7,7,6,,,,,,,,,,,,,631.9,614.9,614.9,530.6,530.6,95.6,89.0,-999999.0,-999999.0,614.9,99.7,99.7,95.7,95.7,34.7,31.7,0.0,0.0,0.0
050454,CA,050454,UCSF MEDICAL CENTER,"505 PARNASSUS AVE, BOX 0296",SAN FRANCISCO,94143,Short Term,06075,POINT (-122.457544 37.762452),"[C050454-C, C050454-B, C050454-D, C050454-A]",20230623,20210115,1,5858,4235,4235,4671,3339,440,429,30,27,5858,1331,714.0,1121.0,597.0,162,160.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,-999999,0,0,0,0,0,0.0,-999999,230,0,0,0,0,0,0,0,0,0,0.0,0,843,0.0,0,7,7,7,7,,,,,,,,,,,,,836.9,605.0,605.0,667.3,477.0,62.9,61.3,4.3,-999999.0,836.9,190.1,102.0,160.1,85.3,23.1,22.9,0.0,0.0,0.0
050625,CA,050625,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD,LOS ANGELES,90048,Short Term,06037,POINT (-118.380122 34.075496),[C050625-A],20230623,20210115,1,6171,6080,5618,5482,5428,1865,1707,-999999,-999999,5709,1085,,,,402,,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,0,0,0,7,0,7,7,7,153,0,-999999,11,10,24,33,32,40,-999999.0,-999999,293,62,0,0,-999999,-999999,5,15,14,21,-999999.0,0,1378,0.0,0,7,7,7,7,0.0,,0.0,,16701.0,,5022.0,,7755.0,,6680.0,,881.6,868.6,802.6,783.1,775.4,266.4,243.9,-999999.0,-999999.0,815.6,155.0,,,,57.4,,0.0,0.0,0.0
330005,NY,330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,14210,Short Term,36029,POINT (-78.865984 42.900906),"[C330005-B, C330005-A]",20230623,20210115,1,6853,6853,6328,4752,4752,1096,1079,0,0,6328,1505,1505.0,1005.0,1005.0,228,221.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,81,0,-999999,-999999,5,12,17,26,19,0.0,0,255,126,0,-999999,5,6,20,15,29,50,0.0,0,1704,0.0,0,7,7,7,7,0.0,,0.0,,707.0,,1860.0,,2748.0,,4253.0,,979.0,979.0,904.0,678.9,678.9,156.6,154.1,0.0,0.0,904.0,215.0,215.0,143.6,143.6,32.6,31.6,0.0,0.0,0.0
330024,NY,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,10029,Short Term,36061,POINT (-73.953392 40.790390),"[C330024-B, C330024-A]",20230623,20210115,1,11991,11081,9345,6954,6443,1596,1258,68,15,10255,1806,1659.0,880.0,799.0,213,191.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,115,0,-999999,9,9,12,29,22,33,0.0,0,974,19,0,0,5,-999999,-999999,-999999,5,-999999,-999999.0,-999999,3855,0.0,0,7,7,7,7,,,,,,,,,,,,,1713.0,1583.0,1335.0,993.4,920.4,228.0,179.7,9.7,-999999.0,1465.0,258.0,237.0,125.7,114.1,30.4,27.3,0.0,0.0,0.0
330059,NY,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,10467,Short Term,36005,POINT (-73.879897 40.879872),"[C330059-C, C330059-B, C330059-A, C330059-D]",20230623,20210115,1,10955,9604,9604,9441,8602,2413,2413,19,19,10955,1442,861.0,1197.0,781.0,382,381.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,294,-999999,13,16,27,49,51,76,57,-999999.0,-999999,2145,0,0,0,0,0,0,0,0,0,0.0,0,4531,0.0,0,7,7,7,7,,,,,,,,,,,,,1565.0,1372.0,1372.0,1348.7,1228.9,344.7,344.7,-999999.0,-999999.0,1565.0,206.0,123.0,171.0,111.6,54.6,54.4,0.0,0.0,0.0
330101,NY,330101,NEW YORK-PRESBYTERIAN HOSPITAL,525 EAST 68TH STREET,NEW YORK,10065,Short Term,36061,POINT (-73.954509 40.764355),"[C330101-A, C330101-H, C330101-D, C330101-F, C330101-G, C330101-C, C330101-E]",20230623,20210115,1,24640,20223,18431,17060,14496,3746,3018,211,19,22512,3523,2012.0,3165.0,1906.0,756,680.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,323,0,20,12,28,34,63,71,95,0.0,7,844,155,0,15,17,19,23,31,33,17,0.0,17,5752,0.0,0,7,7,7,7,,,,,,,,,,,,,3520.0,2889.0,2633.0,2437.1,2070.9,535.1,431.1,30.1,-999999.0,3216.0,503.3,287.4,452.1,272.3,108.0,97.1,0.0,0.0,0.0
330214,NY,330214,NYU LANGONE HOSPITALS,550 FIRST AVENUE,NEW YORK,10016,Short Term,36061,POINT (-73.974303 40.742311),"[C330214-B, C330214-A, C330214-C, C330214-D]",20230623,20210115,1,17465,14931,12971,11199,9346,2646,2542,27,14,15687,2766,1821.0,2109.0,1442.0,482,468.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,295,-999999,10,20,21,41,60,65,77,,4,2893,60,0,5,10,5,11,6,9,14,,6,4189,0.0,0,7,7,7,7,,,,,,,,,,,,,2495.0,2133.0,1853.0,1599.9,1335.1,378.0,363.1,-999999.0,-999999.0,2241.0,395.1,260.1,301.3,206.0,68.9,66.9,0.0,0.0,0.0
330285,NY,330285,STRONG MEMORIAL HOSPITAL,601 ELMWOOD AVE,ROCHESTER,14642,Short Term,36055,POINT (-77.623587 43.122832),[C330285-A],20230623,20210115,1,9352,8316,7378,6289,5243,972,934,24,17,8414,1127,931.0,963.0,785.0,276,264.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,63,0,-999999,-999999,5,8,18,18,9,0.0,-999999,91,27,0,-999999,4,-999999,6,4,-999999,4,0.0,6,1875,0.0,0,7,7,7,7,,,,,,,,,,,,,1336.0,1188.0,1054.0,898.4,749.0,138.9,133.4,-999999.0,-999999.0,1202.0,161.0,133.0,137.6,112.1,39.4,37.7,0.0,0.0,0.0
050025,CA,050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,92103,Short Term,06073,POINT (-117.165844 32.754258),"[C050025-A, C050025-B]",20240308,20210117,1,5853,5293,4509,3901,3719,890,865,4,0,5069,1183,707.0,835.0,653.0,280,270.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,26,0,-999999,-999999,-999999,-999999,7,-999999,7,0.0,0,519,9,0,-999999,-999999,0,-999999,-999999,-999999,0,0.0,-999999,1414,0.0,0,7,7,7,7,,,,,,,,,,,,,836.1,756.1,644.1,557.3,531.3,127.1,123.6,-999999.0,0.0,724.1,169.0,101.0,119.3,93.3,40.0,38.6,0.0,0.0,0.0
050262,CA,050262,RONALD REAGAN UCLA MEDICAL CENTER,757 WESTWOOD PLAZA,LOS ANGELES,90095,Short Term,06037,POINT (-118.446328 34.066455),[C050262-A],20240308,20210117,1,3217,2741,2510,2734,2414,760,654,24,21,2986,1103,781.0,964.0,730.0,283,270.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,35,0,5,-999999,-999999,8,6,6,8,0.0,4,177,0,0,0,0,0,0,0,0,0,0.0,0,790,0.0,0,7,7,7,7,,,,,,,,,,,,,459.6,391.6,358.6,390.6,344.9,108.6,93.4,-999999.0,-999999.0,426.6,157.6,111.6,137.7,104.3,40.4,38.6,0.0,0.0,0.0
