metric,preferred_direction,preset_mean,optimized_mean,mean_benefit_optimized,relative_change_percent,wilcoxon_statistic,p_value,n_paired_panels,holm_p,significant_0_05
operational_score,higher,0.13215002272344675,0.20034499798284278,0.06819497525939598,51.60421001372746,0.0,0.0009765625,11,0.005859375,True
service_level,higher,0.009857506430420875,0.009857506430420875,0.0,0.0,0.0,1.0,11,1.0,False
recipient_coverage,higher,0.006446334007420649,0.014344119409811144,0.007897785402390492,122.51591979719043,0.0,0.0009765625,11,0.005859375,True
fill_gini,lower,0.9964799086624626,0.9945059688672448,0.0019739397952176292,-0.19809127891673256,0.0,0.0009765625,11,0.005859375,True
unit_miles,lower,1999.595800917702,24.823572425057208,1974.7722284926444,-98.75857048641207,0.0,0.0009765625,11,0.005859375,True
holding_days,lower,4.177507759583891,4.177507759583891,0.0,0.0,0.0,1.0,11,1.0,False
