date,split,product,model,active_donors,active_recipients,supply_units,demand_units,allocated_units,service_level,recipient_coverage,fill_gini,unit_miles,holding_days,shipments,operational_score,mean_iterations,convergence_gap,contraction_bound,panel_ambiguity
2020-04-03 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),1,24,20.0,48769.0,20.0,0.00041009657774405874,0.041666666666666664,0.9583333333333333,1237.3895,6.509027777777777,1,0.16679883750591412,6.0,3.376844207053642e-05,0.35324103548878744,0.31480155527035386
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),204,2438,21774.0,5187810.0,21774.0,0.0042009857686161655,0.007793273174733388,0.9974076168739505,151.20391880224125,4.661184150460625,204,0.19112836906039982,4.0,1.550283936918584e-06,0.3532410354887873,0.3275307927151882
2020-04-24 00:00:00+00:00,calibration,surgicalMasks,ACM-4 (coupled),112,1494,19401.0,4607787.0,19333.0,0.004195723456835136,0.00535475234270415,0.9973746839640911,166.29697219779658,4.022438930939422,112,0.19108495721125787,4.0,3.4151354340039575e-06,0.3532410354887874,0.33220230218266095
2020-04-24 00:00:00+00:00,calibration,faceShields,ACM-4 (coupled),115,2028,17787.0,2286152.0,17749.0,0.007763700751306125,0.005917159763313609,0.997080699422584,276.0115414107837,4.415694458138486,115,0.1882205698420118,4.0,1.8052167302939903e-06,0.3532410354887874,0.3268086699300167
2020-04-24 00:00:00+00:00,calibration,gowns,ACM-4 (coupled),23,2069,3010.0,6474451.0,3010.0,0.00046490428300407247,0.007249879168680522,0.9972912670436842,150.9284514950166,4.812638427464009,23,0.18946492045354413,4.0,1.677050693843496e-06,0.3532410354887873,0.3206676284679206
2020-05-01 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),42,2952,4860.0,5393563.0,4860.0,0.00492192850812975,0.01016260162601626,0.9967036530372446,69.93326728395061,3.5217272328913274,42,0.19672194047928335,3.0,3.373728240338436e-05,0.3532410354887873,0.3175293635465093
2020-05-01 00:00:00+00:00,calibration,surgicalMasks,ACM-4 (coupled),46,1926,9239.0,4808549.0,9239.0,0.005918123102428767,0.007265179034769071,0.996509583713425,246.31050037882898,4.014628191482965,46,0.18968432410342478,3.0,8.91784576293464e-05,0.3532410354887874,0.32070507147189437
2020-05-01 00:00:00+00:00,calibration,faceShields,ACM-4 (coupled),31,2448,8157.0,2437048.0,7341.0,0.010220804408674119,0.010208248264597795,0.9949148445804605,98.84771774962542,3.441644696264512,31,0.1981153762743316,3.0,4.749804364037602e-05,0.3532410354887874,0.315698307932008
2020-05-01 00:00:00+00:00,calibration,gowns,ACM-4 (coupled),5,2496,634.0,6857623.0,634.0,0.0005311463242531702,0.008012820512820512,0.9973914969837665,99.4275212933754,2.1920009091307393,5,0.19574322138661004,3.0,4.0911118133868385e-05,0.3532410354887874,0.30155599571910113
2020-05-08 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),13,3086,2546.0,5407386.0,2546.0,0.005373534239718515,0.011989630589760207,0.9958969084420546,94.11205263157896,4.793026747657909,13,0.1945733166091148,3.0,1.0356739916839164e-05,0.3532410354887874,0.2973946999121228
2020-05-08 00:00:00+00:00,calibration,surgicalMasks,ACM-4 (coupled),26,2026,3475.0,4873840.0,3475.0,0.006536986283486578,0.009373458312777503,0.9959377308112158,401.2766529496403,3.1088995803357307,26,0.18688637588295728,3.0,2.6206239474191317e-05,0.3532410354887874,0.3095892161179941
2020-05-08 00:00:00+00:00,calibration,faceShields,ACM-4 (coupled),14,2535,1901.0,2436254.0,1901.0,0.010965960060844807,0.013002364066193853,0.9943947983512935,44.877722251446606,5.85206346075165,14,0.1969603541912845,3.0,1.3888347702023518e-05,0.3532410354887874,0.30279831644669647
2020-05-08 00:00:00+00:00,calibration,gowns,ACM-4 (coupled),2,2616,301.0,6986608.0,301.0,0.0005643573364737066,0.008409785932721712,0.9972736202001995,5.567702657807308,5.654522694413682,2,0.1932354529316233,3.0,2.3417282707272058e-05,0.3532410354887874,0.23202166464044527
2020-05-15 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),16,3181,963.0,5467070.0,963.0,0.0054879036146331965,0.012889028607356178,0.9957840433577538,179.04802959501555,2.517827355197877,16,0.19582156816691293,3.0,8.38822017307228e-06,0.3532410354887874,0.295278908669862
2020-05-15 00:00:00+00:00,calibration,surgicalMasks,ACM-4 (coupled),11,2086,2640.0,4894908.0,2640.0,0.007040251027257201,0.010062290368950648,0.9956897204880084,371.8856761363636,1.3604402093855221,11,0.1911781268006547,3.0,1.723708507039845e-05,0.3532410354887873,0.29067728741896753
2020-05-15 00:00:00+00:00,calibration,faceShields,ACM-4 (coupled),17,2593,5370.0,2442782.0,5210.0,0.013038040338120144,0.016178736517719568,0.9927797858423766,75.95944337811902,2.630087483116514,17,0.2031365804948318,3.0,9.93041660124483e-06,0.3532410354887874,0.29873629760905546
2020-05-22 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),2,3247,1200.0,5471505.0,1200.0,0.005700634789303899,0.01324299353249153,0.9955515341453531,86.36183333333334,0.5936226851851852,2,0.20232756481055553,3.0,1.0195714400140776e-05,0.3532410354887873,0.2689026286158171
2020-05-22 00:00:00+00:00,calibration,surgicalMasks,ACM-4 (coupled),5,2131,2590.0,4907743.0,2590.0,0.007542241367100798,0.010787992495309569,0.9951185890549046,166.50655598455597,1.3746719934219935,5,0.19847172626947657,3.0,1.4970619156562393e-05,0.3532410354887874,0.2723415959857582
2020-05-22 00:00:00+00:00,calibration,faceShields,ACM-4 (coupled),7,2636,1659.0,2439878.0,1659.0,0.01369697327633947,0.017796289284361985,0.9921620670303659,43.617712477396026,2.1594376144151983,7,0.20575761312179758,3.0,1.0705057683413344e-05,0.3532410354887874,0.2848711711098983
2020-05-22 00:00:00+00:00,calibration,gowns,ACM-4 (coupled),2,2747,324.0,7064934.0,324.0,0.0006039147084000165,0.008372770294867127,0.997030179895396,70.50692592592593,2.8576706104252403,2,0.19578551152767135,3.0,1.7935714062000674e-05,0.3532410354887874,0.24089747411011925
2020-05-29 00:00:00+00:00,calibration,respirators,ACM-4 (coupled),5,3358,1072.0,5496142.0,1072.0,0.005867927754022837,0.0136986301369863,0.9950323546455433,30.062240671641792,3.164506331191266,5,0.20019570941133907,3.0,9.152077431129335e-06,0.3532410354887874,0.27777517060879625
2020-05-29 00:00:00+00:00,calibration,surgicalMasks,ACM-4 (coupled),5,2209,1155.0,4932389.0,1155.0,0.007733316484447848,0.01085972850678733,0.9950883664084875,44.804290043290045,6.181139019159852,5,0.19460854491451332,3.0,1.4129017318148529e-05,0.3532410354887874,0.2806160358723295
2020-05-29 00:00:00+00:00,calibration,faceShields,ACM-4 (coupled),5,2701,959.0,2447215.0,959.0,0.014033836139576594,0.018477457501847747,0.9918128854903343,92.24026381647549,3.7235356563549993,5,0.20188806170510604,3.0,1.110644150981166e-05,0.35324103548878744,0.2806279178039536
2020-05-29 00:00:00+00:00,calibration,gowns,ACM-4 (coupled),1,2821,50.0,7142543.0,50.0,0.0006043253971141258,0.00815313718539525,0.9970250583067752,94.5685,5.508599537037037,1,0.19051150396225533,3.0,1.6155826474240076e-05,0.3532410354887873,0.23786604643220158
2020-06-05 00:00:00+00:00,calibration,surgicalMasks,ACM-4 (coupled),1,2467,250.0,5086192.0,250.0,0.007548261101692534,0.01012965964343598,0.9954191570275952,14.096,6.902337962962963,1,0.19411671161932742,3.0,2.5459752588441464e-05,0.3532410354887873,0.20946328071331288
2020-06-05 00:00:00+00:00,calibration,faceShields,ACM-4 (coupled),3,2850,2112.0,2464425.0,2112.0,0.014776868525041972,0.018563922942206657,0.9917196829801946,212.85514204545456,1.1651982937008978,3,0.2024317795655941,3.0,1.1116701707836185e-05,0.3532410354887874,0.2818788366925782
2020-06-12 00:00:00+00:00,validation,respirators,ACM-4 (coupled),4,4166,1945.0,5780650.0,1945.0,0.005914243469689502,0.01200192030724916,0.9956659428908323,8.17105526992288,2.9401088677044656,4,0.2007647267578656,3.0,1.6060828869457477e-05,0.3532410354887873,0.2977539286539848
2020-06-12 00:00:00+00:00,validation,faceShields,ACM-4 (coupled),2,3071,206.0,2493588.0,206.0,0.014675645588908836,0.017874553136171596,0.9921895440601807,18.0171213592233,2.3599804476806905,2,0.20663333397001626,3.0,1.4832195977532159e-05,0.35324103548878744,0.25376576909284443
