product,timestamp,month,split,model,n_events,allocation_overlap,priority_overlap,js_distance,priority_js_distance,ndcg_all,recipient_average_precision,recipient_recall_at_observed_k,dispatch_fraction,panel_ambiguity,n_candidates,n_observed_recipients,observed_quantity
n95,2020-04-01,2020-04-01,calibration,ACM-4 (coupled),3,0.0,0.002118839857954211,1.0,0.9945850701165774,0.14474482007798437,0.0030955520973044268,0.0,1.0,0.30730955021522344,2136,4,405.0
n95,2020-05-01,2020-05-01,calibration,ACM-4 (coupled),54,0.0,0.031572593381490814,1.0,0.963971205527168,0.19558508300334745,0.034099927271755676,0.02631578947368421,1.0,0.32378178263704255,2446,76,25122.0
n95,2020-06-01,2020-06-01,calibration,ACM-4 (coupled),11,0.0,0.005033947569915113,0.9999999999999999,0.9905986279462142,0.1271685692017727,0.004419096448372,0.0,1.0,0.31759398555409746,2546,19,1905.0
n95,2020-07-01,2020-07-01,validation,ACM-4 (coupled),3,0.0,0.0046623517538202115,0.9999999999999999,0.9904014853799968,0.15150599432064962,0.004978378683979047,0.0,1.0,0.2926014835549297,2492,10,2680.0
n95,2020-08-01,2020-08-01,validation,ACM-4 (coupled),1,0.0,0.0005005428757540568,1.0,0.9984461996034871,0.10838449216279149,0.0016722408026755853,0.0,1.0,0.1787497240185812,696,1,40.0
n95,2020-09-01,2020-09-01,validation,ACM-4 (coupled),2,0.0,0.005982814465255596,1.0,0.9870186863702946,0.16493294646107898,0.012566137566137565,0.0,1.0,0.2671139734530048,168,2,300.0
n95,2021-01-01,2021-01-01,test,ACM-4 (coupled),3,0.0,0.009937034755168443,1.0,0.9798775830490585,0.22132522527700207,0.02378567370957021,0.0,1.0,0.22615290607760555,96,3,720.0
n95,2021-02-01,2021-02-01,test,ACM-4 (coupled),1,0.0,0.004366796136494822,1.0,0.9898116188217935,0.14804095548293264,0.009345794392523364,0.0,1.0,0.20175336052283388,148,1,1000.0
n95,2021-03-01,2021-03-01,test,ACM-4 (coupled),3,0.0,0.01923055359071592,1.0,0.9764901610115797,0.15309564459133024,0.03634278302276892,0.0,1.0,0.21695698213426112,203,3,5460.0
n95,2021-04-01,2021-04-01,test,ACM-4 (coupled),1,0.0,0.008078805988871297,1.0,0.9828877921809998,0.1905514124267734,0.02702702702702703,0.0,1.0,0.2090992800613063,158,1,500.0
n95,2021-05-01,2021-05-01,test,ACM-4 (coupled),2,0.0,0.007856383638808605,1.0,0.9867502872742331,0.1476243132592207,0.013084975369458128,0.0,1.0,0.1904103414318329,161,2,1121.0
surgical_mask,2020-04-01,2020-04-01,calibration,ACM-4 (coupled),12,0.0,0.020054344388164023,0.9999999999999999,0.9721305374120265,0.19215009975120903,0.019833263757728765,0.04,1.0,0.35197793298544156,1691,25,15680.0
surgical_mask,2020-05-01,2020-05-01,calibration,ACM-4 (coupled),4,0.0,0.0030220917585770052,0.9999999999999999,0.9931290066703011,0.1360613040255655,0.003496464449777608,0.0,1.0,0.35013443558957125,1916,6,2120.0
surgical_mask,2020-06-01,2020-06-01,calibration,ACM-4 (coupled),20,0.0,0.012921446105546235,1.0,0.9838210772278979,0.13687662081643,0.012625356377968713,0.0,1.0,0.329600077545918,2053,29,36740.0
surgical_mask,2020-07-01,2020-07-01,validation,ACM-4 (coupled),4,0.0,0.00240821701711186,1.0,0.9943002263344892,0.1336251635657339,0.002596968191153479,0.0,1.0,0.315565944731044,2038,6,2465.0
surgical_mask,2020-08-01,2020-08-01,validation,ACM-4 (coupled),1,0.0,0.0006570521209352233,1.0,0.9980244490765128,0.11329456824939788,0.002207505518763797,0.0,1.0,0.2153704939683329,513,1,50.0
surgical_mask,2020-10-01,2020-10-01,validation,ACM-4 (coupled),1,0.0,0.011194493181629779,1.0,0.9775498551707458,0.1854490234153689,0.024390243902439025,0.0,1.0,0.2520309734957411,65,1,500.0
surgical_mask,2020-12-01,2020-12-01,validation,ACM-4 (coupled),2,0.0,0.04140452511938445,0.9999999999999999,0.9361175896811063,0.31324085325204243,0.08630952380952381,0.0,1.0,0.18724631804456948,44,2,7000.0
surgical_mask,2021-02-01,2021-02-01,test,ACM-4 (coupled),2,0.1,0.03607023681125016,0.8749298275892526,0.9528959783606203,0.2720933892926819,0.29545454545454547,0.5,1.0,0.20150292106347692,113,2,5000.0
surgical_mask,2021-03-01,2021-03-01,test,ACM-4 (coupled),9,0.045934772622875514,0.06377510413204474,0.9472951960124909,0.9241636678030388,0.3056221965483581,0.18440682367005004,0.1111111111111111,1.0,0.20843509004614152,170,9,43540.0
surgical_mask,2021-05-01,2021-05-01,test,ACM-4 (coupled),2,0.0,0.016976196512481678,1.0,0.9686723805790507,0.2539273165154459,0.048372513562386976,0.0,1.0,0.2405061941620752,148,2,6000.0
surgical_mask,2021-06-01,2021-06-01,test,ACM-4 (coupled),4,0.0,0.03309843245487953,1.0,0.9472159721471543,0.23608882552132932,0.03766524707144035,0.0,1.0,0.17747729633164122,98,4,13000.0
surgical_mask,2021-07-01,2021-07-01,test,ACM-4 (coupled),2,0.0,0.03712528616345191,1.0,0.9481623015154872,0.3154163349391989,0.26785714285714285,0.5,1.0,0.1976448672898916,79,2,4000.0
face_shield,2020-04-01,2020-04-01,calibration,ACM-4 (coupled),2,0.0,0.0015534685958944311,1.0,0.9958321821344632,0.12971942088322222,0.0029162097396531416,0.0,1.0,0.4172979644956005,1467,2,490.0
face_shield,2020-05-01,2020-05-01,calibration,ACM-4 (coupled),12,0.00838902317645386,0.02571653133391458,0.9917866910373075,0.9610355856429107,0.2460929303449945,0.025228768119153838,0.0,1.0,0.35877186974813524,1993,54,70330.0
face_shield,2020-06-01,2020-06-01,calibration,ACM-4 (coupled),38,0.0,0.026738600184242615,1.0,0.9651355768624592,0.25453719571104155,0.02362813134372709,0.0,1.0,0.3182228173410724,2073,86,61675.0
face_shield,2020-07-01,2020-07-01,validation,ACM-4 (coupled),9,0.0,0.0046574760575846304,1.0,0.9905287242363602,0.15044003166122927,0.004682360772526683,0.0,1.0,0.3257111159506974,2104,14,610.0
face_shield,2020-09-01,2020-09-01,validation,ACM-4 (coupled),3,0.0,0.007302285530906479,1.0,0.9873819782712894,0.13913683936415985,0.009276150360002233,0.0,1.0,0.3065910180563436,344,3,1320.0
face_shield,2021-03-01,2021-03-01,test,ACM-4 (coupled),2,0.0,0.020573581212387393,1.0,0.9641501009314498,0.1991784440337931,0.03202581926514399,0.0,1.0,0.19456102842966677,95,2,350.0
face_shield,2021-04-01,2021-04-01,test,ACM-4 (coupled),5,0.0,0.05002470328846095,0.9999999999999999,0.9270977246598375,0.3332230485365152,0.11218850723523621,0.0,1.0,0.1990068202503935,123,5,1100.0
gown,2020-05-01,2020-05-01,calibration,ACM-4 (coupled),7,0.0,0.005810324201445876,1.0,0.9889618679730845,0.14685001590863542,0.007155556724878048,0.0,1.0,0.38804393431103024,1966,12,8450.0
gown,2020-06-01,2020-06-01,calibration,ACM-4 (coupled),3,0.0,0.00044811073688665027,0.9999999999999999,0.9986719137935096,0.10525211682660678,0.0012691655465061353,0.0,1.0,0.3057535526058336,1972,4,350.0
gown,2020-08-01,2020-08-01,validation,ACM-4 (coupled),1,0.0,0.0011466767472618242,1.0,0.9967807269594436,0.1218107900078664,0.003389830508474576,0.0,1.0,0.294160528204104,338,1,200.0
gown,2020-11-01,2020-11-01,validation,ACM-4 (coupled),3,0.5485436893203883,0.11536164180987303,0.5789079735741489,0.859863774351231,0.43383340305865137,0.38095238095238093,0.3333333333333333,1.0,0.2526562918410385,21,3,10300.0
gown,2021-01-01,2021-01-01,test,ACM-4 (coupled),11,0.0,0.1146484571740962,0.9999999999999999,0.8701962108524703,0.3524027847054186,0.15896211146334766,0.0,1.0,0.23794810155165153,100,11,30840.0
gown,2021-02-01,2021-02-01,test,ACM-4 (coupled),6,0.0,0.03399324399421867,1.0,0.947578382532833,0.24828028647764844,0.04255239300697252,0.0,1.0,0.19137450675388298,106,6,598.0
gown,2021-03-01,2021-03-01,test,ACM-4 (coupled),3,0.0,0.009903951818213182,1.0,0.9802193877628005,0.1780595616553902,0.017860042450040015,0.0,1.0,0.16797354294320052,130,3,814.0
gown,2021-04-01,2021-04-01,test,ACM-4 (coupled),5,0.0,0.03319072359909383,1.0,0.952597698013523,0.2273256092132958,0.046561029318972325,0.0,1.0,0.1762461703661981,157,5,2330.0
gown,2021-05-01,2021-05-01,test,ACM-4 (coupled),2,0.0,0.007832488790563186,1.0,0.9834368812835976,0.1727481883988237,0.017485955056179774,0.0,1.0,0.1820020432573107,93,2,1200.0
gown,2021-06-01,2021-06-01,test,ACM-4 (coupled),5,0.0,0.06736068892019184,1.0,0.9215404990194822,0.23461559134242757,0.09055862977602108,0.0,1.0,0.1732605272141871,58,5,4560.0
n95,2020-04-01,2020-04-01,calibration,ACM-4 (independent),3,0.0,0.0021190535698555296,1.0,0.994584625960366,0.14474482007798437,0.0030955520973044268,0.0,1.0,0.30730955021522344,2136,4,405.0
n95,2020-05-01,2020-05-01,calibration,ACM-4 (independent),54,0.0,0.031572852159360495,1.0,0.9639717528077131,0.1955963173937231,0.03410113148336989,0.02631578947368421,1.0,0.32378178263704255,2446,76,25122.0
n95,2020-06-01,2020-06-01,calibration,ACM-4 (independent),11,0.0,0.005034289973769019,0.9999999999999999,0.9905983096784604,0.12716815198295953,0.004418955886036381,0.0,1.0,0.31759398555409746,2546,19,1905.0
n95,2020-07-01,2020-07-01,validation,ACM-4 (independent),3,0.0,0.004662833303469727,0.9999999999999999,0.9904007990454934,0.15149819093179653,0.004978183976517274,0.0,1.0,0.2926014835549297,2492,10,2680.0
n95,2020-08-01,2020-08-01,validation,ACM-4 (independent),1,0.0,0.0005008701969908328,1.0,0.9984453009808901,0.10838449216279149,0.0016722408026755853,0.0,1.0,0.1787497240185812,696,1,40.0
n95,2020-09-01,2020-09-01,validation,ACM-4 (independent),2,0.0,0.005986814448986317,1.0,0.9870112050455201,0.16493294646107898,0.012566137566137565,0.0,1.0,0.2671139734530048,168,2,300.0
n95,2021-01-01,2021-01-01,test,ACM-4 (independent),3,0.0,0.009953999080053975,1.0,0.9798481975757769,0.22132522527700207,0.02378567370957021,0.0,1.0,0.22615290607760555,96,3,720.0
n95,2021-02-01,2021-02-01,test,ACM-4 (independent),1,0.0,0.004367220806565336,1.0,0.9898107773185334,0.14804095548293264,0.009345794392523364,0.0,1.0,0.20175336052283388,148,1,1000.0
n95,2021-03-01,2021-03-01,test,ACM-4 (independent),3,0.0,0.019232339260101136,1.0,0.9764870815302813,0.15309564459133024,0.03634278302276892,0.0,1.0,0.21695698213426112,203,3,5460.0
n95,2021-04-01,2021-04-01,test,ACM-4 (independent),1,0.0,0.008076005249784274,1.0,0.982892752791458,0.18920035951687003,0.02631578947368421,0.0,1.0,0.2090992800613063,158,1,500.0
n95,2021-05-01,2021-05-01,test,ACM-4 (independent),2,0.0,0.007861742470740042,1.0,0.986741735112522,0.1476243132592207,0.013084975369458128,0.0,1.0,0.1904103414318329,161,2,1121.0
surgical_mask,2020-04-01,2020-04-01,calibration,ACM-4 (independent),12,0.0,0.020035376459084445,0.9999999999999999,0.9721474902211656,0.19214582319309226,0.019834094107529288,0.04,1.0,0.35197793298544156,1691,25,15680.0
surgical_mask,2020-05-01,2020-05-01,calibration,ACM-4 (independent),4,0.0,0.0030218511090608895,0.9999999999999999,0.9931297416761518,0.1360506565719852,0.003496040297890514,0.0,1.0,0.35013443558957125,1916,6,2120.0
surgical_mask,2020-06-01,2020-06-01,calibration,ACM-4 (independent),20,0.0,0.012921858608541368,1.0,0.9838208882906907,0.1368752019434337,0.012623325721694213,0.0,1.0,0.329600077545918,2053,29,36740.0
surgical_mask,2020-07-01,2020-07-01,validation,ACM-4 (independent),4,0.0,0.0024084600979492788,1.0,0.9942998950468049,0.13361547686408637,0.0025967399338070168,0.0,1.0,0.315565944731044,2038,6,2465.0
surgical_mask,2020-08-01,2020-08-01,validation,ACM-4 (independent),1,0.0,0.0006575460911335165,1.0,0.9980231409144535,0.11329456824939788,0.002207505518763797,0.0,1.0,0.2153704939683329,513,1,50.0
surgical_mask,2020-10-01,2020-10-01,validation,ACM-4 (independent),1,0.0,0.011196398196847004,1.0,0.9775466898806434,0.1854490234153689,0.024390243902439025,0.0,1.0,0.2520309734957411,65,1,500.0
surgical_mask,2020-12-01,2020-12-01,validation,ACM-4 (independent),2,0.0,0.04136450786328751,0.9999999999999999,0.9361631305520252,0.31324085325204243,0.08630952380952381,0.0,1.0,0.18724631804456948,44,2,7000.0
surgical_mask,2021-02-01,2021-02-01,test,ACM-4 (independent),2,0.1,0.036060970634456554,0.8749298275892526,0.9529024951919597,0.2720933892926819,0.29545454545454547,0.5,1.0,0.20150292106347692,113,2,5000.0
surgical_mask,2021-03-01,2021-03-01,test,ACM-4 (independent),9,0.045934772622875514,0.06376646853796725,0.9472951960124909,0.9241660851204135,0.3056221965483581,0.18440682367005004,0.1111111111111111,1.0,0.20843509004614152,170,9,43540.0
surgical_mask,2021-05-01,2021-05-01,test,ACM-4 (independent),2,0.0,0.016979467363404645,1.0,0.968667633673531,0.2539273165154459,0.048372513562386976,0.0,1.0,0.2405061941620752,148,2,6000.0
surgical_mask,2021-06-01,2021-06-01,test,ACM-4 (independent),4,0.0,0.03310402398941041,1.0,0.9472085377632466,0.23608882552132932,0.03766524707144035,0.0,1.0,0.17747729633164122,98,4,13000.0
surgical_mask,2021-07-01,2021-07-01,test,ACM-4 (independent),2,0.0,0.037100445707072126,1.0,0.9481810538606349,0.3154163349391989,0.26785714285714285,0.5,1.0,0.1976448672898916,79,2,4000.0
face_shield,2020-04-01,2020-04-01,calibration,ACM-4 (independent),2,0.0,0.00155366611362501,1.0,0.9958317655063745,0.12971942088322222,0.0029162097396531416,0.0,1.0,0.4172979644956005,1467,2,490.0
face_shield,2020-05-01,2020-05-01,calibration,ACM-4 (independent),12,0.00838902317645386,0.025717667927341117,0.9917866910373075,0.9610340717664384,0.24612007760988588,0.025231115061485673,0.0,1.0,0.35877186974813524,1993,54,70330.0
face_shield,2020-06-01,2020-06-01,calibration,ACM-4 (independent),38,0.0,0.026740244942625814,1.0,0.9651345584304303,0.2545502876480536,0.023629525970342548,0.0,1.0,0.3182228173410724,2073,86,61675.0
face_shield,2020-07-01,2020-07-01,validation,ACM-4 (independent),9,0.0,0.004657973069252563,1.0,0.9905279210003025,0.15044038437828017,0.0046836304265710305,0.0,1.0,0.3257111159506974,2104,14,610.0
face_shield,2020-09-01,2020-09-01,validation,ACM-4 (independent),3,0.0,0.007303583253967599,1.0,0.9873807858619722,0.13913683936415985,0.009276150360002233,0.0,1.0,0.3065910180563436,344,3,1320.0
face_shield,2021-03-01,2021-03-01,test,ACM-4 (independent),2,0.0,0.020575114425871316,1.0,0.9641476876068711,0.1991784440337931,0.03202581926514399,0.0,1.0,0.19456102842966677,95,2,350.0
face_shield,2021-04-01,2021-04-01,test,ACM-4 (independent),5,0.0,0.050009898312744244,0.9999999999999999,0.927111291081611,0.3332230485365152,0.11218850723523621,0.0,1.0,0.1990068202503935,123,5,1100.0
gown,2020-05-01,2020-05-01,calibration,ACM-4 (independent),7,0.0,0.005810189563263202,1.0,0.988961861470128,0.1468509945476022,0.007155773163725993,0.0,1.0,0.38804393431103024,1966,12,8450.0
gown,2020-06-01,2020-06-01,calibration,ACM-4 (independent),3,0.0,0.0004482868291974493,0.9999999999999999,0.9986714779842292,0.10525211682660678,0.0012691655465061353,0.0,1.0,0.3057535526058336,1972,4,350.0
gown,2020-08-01,2020-08-01,validation,ACM-4 (independent),1,0.0,0.0011471411333749625,1.0,0.996779589068857,0.1218107900078664,0.003389830508474576,0.0,1.0,0.294160528204104,338,1,200.0
gown,2020-11-01,2020-11-01,validation,ACM-4 (independent),3,0.5485436893203883,0.11525024190129424,0.5789079735741489,0.8599936749467754,0.43383340305865137,0.38095238095238093,0.3333333333333333,1.0,0.2526562918410385,21,3,10300.0
gown,2021-01-01,2021-01-01,test,ACM-4 (independent),11,0.0,0.11463658845788155,0.9999999999999999,0.8701935444440598,0.3524027847054186,0.15896211146334766,0.0,1.0,0.23794810155165153,100,11,30840.0
gown,2021-02-01,2021-02-01,test,ACM-4 (independent),6,0.0,0.03399944215172127,1.0,0.9475646899627703,0.24828028647764844,0.04255239300697252,0.0,1.0,0.19137450675388298,106,6,598.0
gown,2021-03-01,2021-03-01,test,ACM-4 (independent),3,0.0,0.009914575810430063,1.0,0.9802021785388136,0.1780595616553902,0.017860042450040015,0.0,1.0,0.16797354294320052,130,3,814.0
gown,2021-04-01,2021-04-01,test,ACM-4 (independent),5,0.0,0.03319576666434613,1.0,0.95258858951119,0.2273256092132958,0.046561029318972325,0.0,1.0,0.1762461703661981,157,5,2330.0
