product,model,mean_iterations,max_convergence_gap,max_operator_norm,max_contraction_bound,median_active_nodes
face_shield,ACM-2,3.4711538461538463,9.064970869476774e-05,1.336633663366337,0.36122697312326546,1955.0
face_shield,ACM-3,3.4038461538461537,9.227187810371268e-05,1.336633663366337,0.36122697312326546,1955.0
face_shield,ACM-4 (coupled),3.394230769230769,9.247250810262564e-05,1.336633663366337,0.36122697312326546,1955.0
face_shield,ACM-4 (independent),3.4038461538461537,9.721569773585292e-05,1.2774247363635562,0.34522568416184196,1955.0
face_shield,FCM,3.019230769230769,9.581268352124028e-05,1.336633663366337,0.36122697312326546,1955.0
gown,ACM-2,4.2075471698113205,9.996392489597383e-05,1.336633663366337,0.36122697312326546,103.0
gown,ACM-3,4.150943396226415,9.858315883265467e-05,1.336633663366337,0.36122697312326546,103.0
gown,ACM-4 (coupled),4.132075471698113,9.541896944054162e-05,1.336633663366337,0.36122697312326546,103.0
gown,ACM-4 (independent),4.150943396226415,9.708263982743937e-05,1.2831600515348416,0.34677566049119285,103.0
gown,FCM,3.2830188679245285,9.705011980232214e-05,1.336633663366337,0.36122697312326546,103.0
n95,ACM-2,2.75,9.669165003417524e-05,1.336633663366337,0.36122697312326546,2424.0
n95,ACM-3,2.7327586206896552,8.376099657980696e-05,1.336633663366337,0.36122697312326546,2424.0
n95,ACM-4 (coupled),2.7155172413793105,9.821185760944262e-05,1.336633663366337,0.36122697312326546,2424.0
n95,ACM-4 (independent),2.7586206896551726,8.340587780927833e-05,1.3055527533273439,0.3528273170596692,2424.0
n95,FCM,2.4655172413793105,9.678072074115196e-05,1.336633663366337,0.36122697312326546,2424.0
surgical_mask,ACM-2,3.539473684210526,9.956647637826554e-05,1.336633663366337,0.36122697312326546,1279.0
surgical_mask,ACM-3,3.486842105263158,9.125160314371605e-05,1.336633663366337,0.36122697312326546,1279.0
surgical_mask,ACM-4 (coupled),3.460526315789474,9.303011858330379e-05,1.336633663366337,0.36122697312326546,1279.0
surgical_mask,ACM-4 (independent),3.4342105263157894,9.458698884692862e-05,1.2759092276344244,0.34481611597126727,1279.0
surgical_mask,FCM,3.013157894736842,9.185744901962778e-05,1.336633663366337,0.36122697312326546,1279.0
