trial,mu_true,mu_partial,sigma_exact,sigma_partial,beta_partial,diagonal_memory,partial_to_exact,exact_to_partial,partial_self,physical_mix,partial_coefficient,temperature,weight_demand,weight_backlog,weight_inventory,weight_route,weight_capacity,calibration_objective,calibration_raw_score,regularization_penalty,calibration_shortlist,selected,validation_objective,validation_overlap,validation_priority_overlap,validation_ndcg_all
0,0.82,0.62,0.22,0.25,0.82,0.42,0.24,0.12,0.88,0.45,0.75,0.3,1.0,1.0,1.0,1.0,1.0,0.004736389536143669,0.004736389536143669,0.0,False,False,,,,
1,0.8571738581613163,0.6625078945076901,0.22597485343020998,0.2922105949721513,0.8860616498531773,0.49351598467421376,0.26001034334332873,0.17751594153009384,0.8327598888996707,0.5190275585626551,0.75,0.28131103535497404,0.5922804880665461,1.0141290966403607,1.0697946624945451,0.9408342253885582,1.5563852565427478,0.00333804223838444,0.004544097674801774,0.001206055436417334,False,False,,,,
2,0.8586262299932371,0.5732639904518754,0.25672917520550004,0.23819837085221554,0.7191212007803642,0.3532320581344446,0.3412473329242021,0.16400782814985537,0.9047753368184812,0.4113043009754009,0.25,0.2023951140644651,1.9707884267703706,0.5510767733975603,0.9884815531474477,1.9347469153691477,1.208967242995011,0.00433014913844581,0.005482703088592581,0.0011525539501467715,False,False,,,,
3,0.8402272297470117,0.6361054099197772,0.2154153776501409,0.2546829372632825,0.7866800004388209,0.4819635496631999,0.3039723475919089,0.08920326553207684,0.885594004380311,0.4637860635680675,0.25,0.36971118803548053,0.5732063705224195,1.4914592309412031,0.6819439288263169,1.7875231600900063,0.584659863296435,0.0037964431832929525,0.004220455711309053,0.00042401252801610066,False,False,,,,
4,0.7759999722981488,0.5849225287456454,0.2267698254573175,0.28073884449229247,0.7713931085084087,0.3841233439007341,0.2254401429320601,0.16622039366862945,0.844537949743821,0.41288534656670695,1.0,0.25683227331031727,0.869278692387338,1.2311293450489058,1.3924356608566983,1.1694836306374061,1.7819836017373711,0.003865681638569882,0.004597478892257764,0.0007317972536878816,False,False,,,,
5,0.8638030204685163,0.5764995547916488,0.2558713797634653,0.20519997997325118,0.9486601616694934,0.4509059511246072,0.29119207622086646,0.10151640627190969,0.8340347275124488,0.5353968422132237,0.25,0.2225832171133009,1.0119815471738556,0.9256639809402131,0.5290147136493857,0.5584902781439867,1.0399025192563964,0.00366306056957187,0.00467351332608138,0.0010104527565095096,False,False,,,,
6,0.7681764443870961,0.5698965673211275,0.2770021501473985,0.2082233462697144,0.7650801129112355,0.36916352978154393,0.15562961327518116,0.09190313871187836,0.8139707369397249,0.4587536389793794,0.5,0.2336511335008165,0.577526152890112,1.5587560736532948,1.3429661017552101,1.410069452288738,1.9850959716271936,0.0026478880335621055,0.004350496365052815,0.0017026083314907092,False,False,,,,
7,0.8164610671961604,0.6560476688812791,0.213539631431235,0.23455951605572362,0.7225173067380113,0.4568216749410856,0.23944037848642039,0.07290728265299162,0.8924567950838276,0.4050040815947992,0.75,0.21208160817140886,1.5781404382234547,1.298848918984475,1.5210045289777474,0.7879619298485757,0.6239726712137637,0.0043706404315845306,0.004788160466359889,0.000417520034775358,False,False,,,,
8,0.7707183812556495,0.6798420255230181,0.2348315721219013,0.24171183009218253,0.9248034418318323,0.4541970646143332,0.2803937756332402,0.06627388254959053,0.8562876302411107,0.4804262191858235,0.25,0.3857768573757528,1.5744625637267862,0.8026086912652487,1.0875729054822387,1.5580606025041177,1.1922948749405515,0.004190211324498188,0.005126908405398971,0.0009366970809007833,False,False,,,,
9,0.8771297221533287,0.5750383383997293,0.2663524353254651,0.20269655433550557,0.821777594458589,0.40378680784228876,0.3010122885653713,0.1387923794363584,0.8156360933670873,0.48803556654525343,1.0,0.3821593215169834,0.929233027736898,1.4362295114672703,0.6374309741875961,1.727920995108809,1.6203349440148986,0.0029849097528044186,0.004380456588214448,0.0013955468354100292,False,False,,,,
