C,validation_overlap,validation_priority_overlap,validation_ndcg_all,selected
0.01,0.189561597760638,0.10958439765297799,0.3744333580216161,True
0.1,0.189561597760638,0.10560021972633284,0.373393730706116,False
1.0,0.189561597760638,0.10361014009784025,0.37043750330058617,False
10.0,0.189561597760638,0.10634801557434127,0.37011082453556043,False
